Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Play Score,Game Score,Critic Score
007: Quantum of Solace,2008.0,0.22,0.26,0.01,0.095,0.585,67.5,30.0,51.0,7.3100000000000005,7.6,7.025
2010 FIFA World Cup South Africa,2010.0,0.3,0.64,0.07,0.22,1.23,82.0,56.0,57.0,8.06,7.97,8.16
2014 FIFA World Cup Brazil,2014.0,0.15,0.36,0.01,0.09,0.61,73.0,33.0,87.0,7.82,8.44,7.21
50 Cent: Blood on the Sand,2009.0,0.1,0.06,0.01,0.03,0.19,72.0,37.0,57.0,7.05,6.94,7.15
7 Days to Die,2016.0,0.04,0.08,0.0,0.02,0.14,45.0,16.0,140.0,6.65,8.43,4.87
7th Dragon III Code: VFD,2015.0,0.04,0.0,0.12,0.0,0.17,77.0,26.0,38.0,8.37,9.24,7.5
A Vampyre Story,2008.0,0.0,0.01,0.0,0.0,0.02,75.0,33.0,25.0,7.03,6.77,7.3
Ace Combat: Assault Horizon,2011.0,0.3,0.15,0.22,0.07,0.74,77.0,28.0,82.0,7.67,8.04,7.3
Ace Combat: Assault Horizon Legacy,2011.0,0.1,0.06,0.08,0.01,0.24,71.0,37.0,26.0,7.87,8.72,7.03
Aegis of Earth: Protonovus Assault,2016.0,0.02,0.0,0.0,0.0,0.03,57.0,11.0,9.0,7.6,8.79,6.41
Afrika,2008.0,0.12,0.0,0.08,0.01,0.22,63.0,12.0,34.0,7.17,7.74,6.61
Afro Samurai,2009.0,0.12,0.05,0.0,0.03,0.2,65.0,52.0,27.0,6.99,7.34,6.65
Age of Empires III,2005.0,0.0,0.33,0.0,0.05,0.38,81.0,52.0,519.0,8.4,8.84,7.97
Age of Mythology,2002.0,0.02,0.06,0.0,0.01,0.09,89.0,31.0,484.0,7.93,7.82,8.04
Alan Wake,2012.0,0.0,0.06,0.0,0.01,0.06,83.0,30.0,1473.0,8.59,8.92,8.26
Alice: Madness Returns,2011.0,0.11,0.16999999999999998,0.02,0.05,0.35,72.5,40.0,370.0,7.984999999999999,8.75,7.225
Alien: Isolation,2014.0,0.17,0.355,0.02,0.09000000000000001,0.635,80.0,45.5,1191.5,8.51,9.094999999999999,7.92
Alone in the Dark,2008.0,0.0,0.01,0.0,0.0,0.01,55.0,19.0,148.0,6.02,5.66,6.38
Alone in the Dark: Inferno,2008.0,0.09,0.03,0.0,0.02,0.13,69.0,25.0,50.0,6.71,6.66,6.76
Alpha Protocol,2010.0,0.095,0.1,0.0,0.04,0.22999999999999998,68.0,37.0,314.0,7.220000000000001,7.535,6.9
Anarchy Reigns,2012.0,0.1,0.03,0.06,0.02,0.2,71.0,35.0,106.0,7.63,8.22,7.03
Angry Birds Star Wars,2013.0,0.1,0.11000000000000001,0.0,0.045,0.25,48.0,5.5,55.0,7.14,8.125,6.15
Animal Crossing: Happy Home Designer,2015.0,0.51,1.02,1.4,0.12,3.05,66.0,60.0,106.0,7.71,8.75,6.68
Animal Crossing: New Leaf,2012.0,2.03,2.36,4.39,0.39,9.16,88.0,70.0,626.0,9.12,9.68,8.57
Anno 2070,2011.0,0.0,1.13,0.0,0.29,1.43,83.0,33.0,493.0,7.04,5.99,8.09
Aquapazza: Aquaplus Dream Match,2012.0,0.05,0.0,0.05,0.01,0.11,75.0,13.0,20.0,8.07,8.52,7.61
Ar Nosurge: Ode to an Unborn Star,2014.0,0.05,0.03,0.06,0.02,0.16,67.0,23.0,49.0,7.58,8.37,6.78
Ar tonelico Qoga: Knell of Ar Ciel,2010.0,0.08,0.01,0.13,0.01,0.24,61.0,27.0,101.0,7.26,7.53,6.98
Arcana Heart 3,2011.0,0.04,0.04,0.1,0.02,0.2,73.0,10.0,27.0,8.28,9.3,7.25
Armored Core 4,2006.0,0.09,0.0,0.09,0.01,0.2,65.0,36.0,25.0,7.11,7.2,7.02
Armored Core V,2012.0,0.09,0.04,0.24,0.02,0.39,65.0,26.0,47.0,6.87,7.08,6.66
Armored Core: Verdict Day,2013.0,0.0,0.0,0.12,0.0,0.12,66.0,18.0,28.0,7.78,8.66,6.89
Army of Two,2008.0,0.74,0.26,0.02,0.15,1.17,74.0,43.0,118.0,7.16,7.36,6.95
Army of Two: The 40th Day,2010.0,0.44,0.27,0.01,0.12,0.85,74.0,56.0,88.0,7.52,7.81,7.24
Army of Two: The Devil's Cartel,2013.0,0.11,0.11,0.01,0.05,0.28,58.0,27.0,100.0,7.45,8.96,5.95
Arslan: The Warriors of Legend,2015.0,0.03,0.01,0.04,0.01,0.09,69.0,43.0,23.0,7.65,8.47,6.83
Asphalt 3D,2011.0,0.27,0.16,0.02,0.04,0.49,43.0,37.0,24.0,6.9,8.77,5.03
Assassin's Creed,2007.0,1.91,2.0,0.09,0.82,4.82,81.0,40.0,769.0,8.24,8.47,8.01
Assassin's Creed Chronicles: China,2015.0,0.0,0.03,0.0,0.01,0.04,69.0,44.0,83.0,7.62,8.59,6.66
Assassin's Creed II,2009.5,1.275,1.19,0.105,0.475,3.05,88.5,46.0,1406.5,8.635,8.8,8.46
Assassin's Creed III,2012.0,1.46,1.525,0.08,0.6200000000000001,3.69,82.5,31.0,1398.0,8.2,8.135,8.27
Assassin's Creed IV: Black Flag,2013.0,0.8733333333333335,1.1233333333333333,0.06333333333333334,0.3466666666666667,2.4,85.0,25.0,1280.0,8.64,8.879999999999999,8.399999999999999
Assassin's Creed Syndicate,2015.0,0.46,1.04,0.035,0.27,1.8,75.0,50.0,931.5,8.07,8.305,7.83
Assassin's Creed: Brotherhood,2010.5,1.01,0.44500000000000006,0.055,0.195,1.7049999999999998,89.0,41.5,946.5,8.735,8.84,8.625
Assassin's Creed: Revelations,2011.0,0.7749999999999999,1.2449999999999999,0.05,0.41,2.48,80.0,29.5,692.0,8.265,8.475000000000001,8.05
Assetto Corsa,2016.0,0.0,0.05,0.0,0.01,0.06,73.0,35.0,70.0,7.44,7.58,7.31
Asura's Wrath,2012.0,0.18,0.12,0.06,0.05,0.4,71.0,39.0,169.0,7.51,7.81,7.21
Atelier Ayesha: The Alchemist of Dusk,2012.0,0.06,0.04,0.14,0.02,0.26,70.0,17.0,120.0,7.63,8.36,6.89
Atelier Shallie: Alchemists of the Dusk Sea,2014.0,0.06,0.02,0.08,0.02,0.18,76.0,26.0,44.0,7.8,8.3,7.29
Attack on Titan: Humanity in Chains,2013.0,0.0,0.0,0.42,0.0,0.42,46.0,22.0,34.0,6.99,8.67,5.31
Band Hero,2009.0,0.41,0.23,0.0,0.11,0.74,76.0,45.0,9.0,7.23,7.15,7.32
Batman: Arkham Asylum,2009.0,1.12,0.795,0.035,0.33,2.2750000000000004,91.0,49.5,1429.0,8.940000000000001,9.27,8.61
Batman: Arkham City,2011.0,1.435,1.065,0.055,0.45,3.0050000000000003,93.5,34.5,2004.5,9.125,9.34,8.91
Batman: Arkham Knight,2015.0,0.81,0.86,0.05,0.325,2.04,78.5,51.5,2323.0,8.42,8.785,8.055
Batman: Arkham Origins,2013.0,0.6000000000000001,0.48000000000000004,0.02,0.2,1.3,75.0,31.5,919.0,8.0,8.649999999999999,7.355
Batman: Arkham Origins Blackgate,2013.0,0.16,0.09,0.0,0.02,0.27,68.0,7.0,38.0,7.82,8.75,6.9
Batman: Arkham VR,2016.0,0.25,0.0,0.0,0.06,0.3,75.0,59.0,89.0,7.82,8.39,7.24
Battle Princess of Arcadias,2013.0,0.0,0.0,0.02,0.0,0.02,69.0,22.0,25.0,8.18,8.97,7.38
BattleForge,2009.0,0.0,0.01,0.0,0.0,0.01,75.0,37.0,112.0,7.38,7.36,7.4
Battleborn,2016.0,0.08,0.06,0.01,0.025,0.17,68.5,44.5,401.0,7.305,7.435,7.175000000000001
Battlefield 1,2016.0,0.6050000000000001,1.1949999999999998,0.105,0.32,2.23,88.0,42.5,973.0,8.195,7.800000000000001,8.585
Battlefield 1942,2002.0,0.01,0.01,0.0,0.0,0.03,89.0,27.0,327.0,7.84,7.58,8.09
Battlefield 2,2005.0,0.0,0.07,0.0,0.01,0.08,91.0,55.0,837.0,8.23,8.02,8.44
Battlefield 2142,2006.0,0.0,0.02,0.0,0.0,0.03,80.0,48.0,326.0,7.76,7.8,7.72
Battlefield 3,2011.0,1.87,2.16,0.175,0.77,4.975,87.0,49.5,3343.5,8.504999999999999,8.629999999999999,8.375
Battlefield 4,2013.0,1.0133333333333334,1.28,0.1466666666666667,0.37000000000000005,2.81,82.0,28.0,1892.0,8.516666666666666,8.756666666666668,8.283333333333333
Battlefield Vietnam,2004.0,0.0,0.02,0.0,0.0,0.03,84.0,48.0,133.0,7.88,7.83,7.92
Battlefield: Bad Company,2008.0,0.76,0.35,0.05,0.18,1.34,84.0,50.0,203.0,8.19,8.1,8.29
Battlefield: Bad Company 2,2010.0,0.76,0.8150000000000001,0.04,0.22,1.835,87.5,52.5,1019.5,8.57,8.665,8.47
Battlestations: Midway,2007.0,0.0,0.01,0.0,0.0,0.01,76.0,20.0,46.0,7.41,7.43,7.38
Battlestations: Pacific,2009.0,0.0,0.02,0.0,0.0,0.03,74.0,31.0,46.0,7.08,6.78,7.37
Bayonetta,2009.0,0.44,0.39,0.21,0.16,1.21,87.0,54.0,355.0,8.41,8.53,8.29
Bejeweled 3,2010.0,0.02,0.05,0.0,0.01,0.08,82.0,27.0,86.0,8.67,9.29,8.05
Beyond: Two Souls,2013.0,0.52,0.8,0.06,0.26,1.63,70.0,98.0,2652.0,7.94,8.55,7.34
Binary Domain,2012.0,0.09,0.07,0.14,0.03,0.33,72.0,33.0,179.0,8.16,8.69,7.63
BioShock 2,2010.0,0.85,0.46,0.02,0.22,1.54,88.0,62.0,492.0,8.63,8.91,8.36
Bionic Commando,2009.0,0.12,0.17,0.01,0.06,0.36,71.0,48.0,62.0,7.42,7.55,7.29
Birds of Steel,2012.0,0.1,0.08,0.02,0.03,0.23,73.0,27.0,18.0,8.21,8.94,7.49
Blades of Time,2012.0,0.04,0.03,0.01,0.01,0.1,53.0,19.0,22.0,6.63,7.48,5.78
Bladestorm: Nightmare,2015.0,0.08,0.04,0.03,0.02,0.17,58.0,33.0,21.0,7.27,8.42,6.12
BlazBlue: Calamity Trigger,2009.0,0.36,0.1,0.06,0.06,0.57,87.0,50.0,112.0,8.26,8.21,8.3
BlazBlue: Chrono Phantasma,2013.0,0.14,0.0,0.14,0.03,0.3,83.0,16.0,64.0,8.6,9.19,8.01
BlazBlue: Continuum Shift,2010.0,0.21,0.07,0.09,0.04,0.41,87.0,29.0,65.0,8.33,8.32,8.34
Blazing Angels: Squadrons of WWII,2006.0,0.185,0.11,0.0,0.05,0.34,66.0,21.0,13.0,7.145,7.28,7.01
Blood Bowl,2009.0,0.02,0.02,0.0,0.0,0.04,72.0,34.0,57.0,7.53,7.83,7.22
Bloodborne,2015.0,1.03,0.81,0.26,0.38,2.48,92.0,100.0,6383.0,9.17,9.39,8.94
Blur,2010.0,0.115,0.19999999999999998,0.01,0.065,0.39,81.0,41.0,131.5,7.699999999999999,7.68,7.725
Bodycount,2011.0,0.05,0.05,0.0,0.02,0.11,50.0,40.0,28.0,6.2,7.0,5.39
Borderlands,2009.0,0.605,0.37,0.0,0.15999999999999998,1.135,82.0,47.5,895.0,8.57,9.11,8.04
Borderlands 2,2012.0,0.735,0.565,0.05,0.22499999999999998,1.58,90.0,31.5,1670.0,9.06,9.43,8.69
Borderlands: The Pre-Sequel,2014.0,0.185,0.18,0.025,0.060000000000000005,0.44999999999999996,76.0,39.5,416.5,8.09,8.66,7.52
Braid,2009.0,0.0,0.02,0.0,0.0,0.03,90.0,11.0,819.0,8.4,9.13,7.68
Brain Age: Concentration Training,2012.0,0.09,0.0,0.0,0.01,0.09,71.0,11.0,17.0,7.92,8.64,7.2
Bravely Second: End Layer,2015.0,0.17,0.1,0.18,0.03,0.49,81.0,70.0,103.0,8.75,9.42,8.08
Brink,2011.0,0.175,0.20500000000000002,0.005,0.075,0.45499999999999996,71.0,38.5,357.5,6.88,6.630000000000001,7.125
Brothers in Arms: Hell's Highway,2008.0,0.22,0.18000000000000002,0.0,0.075,0.47500000000000003,77.5,35.0,100.0,8.01,8.45,7.57
Brothers: A Tale of Two Sons,2015.0,0.03,0.08,0.0,0.02,0.14,81.0,10.0,73.0,8.44,8.98,7.91
Brutal Legend,2009.0,0.54,0.27,0.0,0.13,0.94,83.0,61.0,162.0,7.87,7.8,7.93
Bulletstorm,2011.0,0.15000000000000002,0.135,0.005,0.05,0.34500000000000003,82.5,45.5,528.0,8.04,8.02,8.06
Bully: Scholarship Edition,2008.0,0.0,0.02,0.0,0.0,0.03,72.0,11.0,257.0,7.84,8.27,7.42
Burnout Paradise,2008.0,1.01,0.62,0.02,0.29,1.94,87.0,55.0,455.0,8.36,8.31,8.41
Burnout Paradise: The Ultimate Box,2009.0,0.0,0.08,0.0,0.01,0.09,87.0,26.0,435.0,8.41,8.56,8.25
Bust-A-Move Universe,2011.0,0.08,0.15,0.06,0.03,0.31,49.0,30.0,13.0,6.47,7.78,5.15
Caesar IV,2006.0,0.0,0.03,0.0,0.01,0.04,74.0,32.0,43.0,6.99,6.71,7.27
Call of Duty 2,2005.0,0.0,0.05,0.0,0.01,0.06,86.0,64.0,626.0,8.46,8.86,8.06
Call of Duty 3,2006.0,0.6,0.62,0.03,0.26,1.5,80.0,43.0,92.0,7.46,7.33,7.6
Call of Duty 4: Modern Warfare,2007.0,1.555,1.69,0.14,0.53,3.915,93.0,42.0,1676.5,8.675,8.86,8.5
Call of Duty: Advanced Warfare,2014.0,1.48,1.855,0.07,0.63,4.035,80.5,28.5,1289.5,7.575,7.140000000000001,8.004999999999999
Call of Duty: Black Ops,2010.0,5.99,4.37,0.48,1.79,12.63,88.0,58.0,1094.0,8.16,7.91,8.41
Call of Duty: Black Ops II,2012.0,2.815,3.21,0.325,1.305,7.659999999999999,78.5,16.0,1278.5,7.815,7.695,7.9399999999999995
Call of Duty: Ghosts,2013.0,2.94,2.53,0.215,0.9099999999999999,6.595,74.5,29.5,1305.5,7.6850000000000005,7.92,7.46
Call of Duty: Infinite Warfare,2016.0,0.8250000000000001,1.04,0.075,0.36,2.3,75.0,49.0,784.5,7.465,7.3149999999999995,7.609999999999999
Call of Duty: Modern Warfare 2,2009.0,2.5,2.215,0.19,0.8450000000000001,5.74,90.0,53.5,4251.5,8.620000000000001,8.635,8.61
Call of Duty: Modern Warfare 3,2011.0,2.975,3.3550000000000004,0.245,0.9450000000000001,7.5200000000000005,83.0,32.5,5449.0,7.98,7.654999999999999,8.305
Call of Duty: World at War,2008.0,1.375,0.9850000000000001,0.0,0.43,2.7849999999999997,84.0,40.5,565.0,8.38,8.745,8.015
Call of Juarez: Bound in Blood,2009.0,0.175,0.2,0.005,0.075,0.455,78.0,43.0,186.5,7.885,8.225,7.535
Captain America: Super Soldier,2011.0,0.07500000000000001,0.04,0.0,0.02,0.135,56.0,21.5,23.0,7.035,8.305,5.765000000000001
Carmageddon: Max Damage,2016.0,0.01,0.0,0.0,0.0,0.01,51.0,28.0,39.0,6.96,8.19,5.73
Cartoon Network: Punch Time Explosion,2011.0,0.07,0.02,0.0,0.01,0.1,58.0,16.0,28.0,6.82,7.77,5.86
Castlevania: Lords of Shadow,2010.0,0.5,0.35,0.1,0.15,1.1,85.0,62.0,468.0,8.13,8.03,8.23
Castlevania: Lords of Shadow 2,2014.0,0.02,0.075,0.01,0.015,0.12000000000000001,60.5,35.5,513.0,7.609999999999999,8.465,6.744999999999999
Catherine,2011.0,0.3,0.14,0.2,0.06,0.7,79.0,61.0,372.0,8.41,8.93,7.89
Cave Story 3D,2011.0,0.09,0.03,0.01,0.01,0.14,82.0,29.0,72.0,8.3,8.73,7.87
Ceville,2009.0,0.0,0.02,0.0,0.0,0.02,73.0,17.0,21.0,7.72,7.97,7.48
Child of Light,2014.0,0.0,0.01,0.04,0.0,0.05,82.0,46.0,451.0,8.73,9.43,8.03
Cities in Motion,2011.0,0.0,0.04,0.0,0.01,0.05,70.0,20.0,105.0,7.37,7.47,7.27
Cities: Skylines,2015.0,0.0,0.13,0.0,0.01,0.14,85.0,60.0,1404.0,8.83,9.19,8.46
Clive Barker's Jericho,2007.0,0.085,0.01,0.0,0.01,0.10500000000000001,61.5,29.5,135.0,7.0649999999999995,7.365,6.77
Code of Princess,2012.0,0.16,0.0,0.03,0.01,0.2,67.0,38.0,73.0,7.42,7.77,7.06
Combat of Giants: Dinosaurs 3D,2011.0,0.25,0.06,0.05,0.03,0.39,44.0,18.0,9.0,6.16,7.79,4.53
Commander: Conquest of the Americas,2010.0,0.0,0.02,0.0,0.0,0.03,68.0,16.0,19.0,6.47,5.72,7.22
Company of Heroes,2006.0,0.0,0.04,0.0,0.01,0.05,93.0,55.0,1128.0,8.91,9.05,8.76
Company of Heroes 2,2013.0,0.06,0.25,0.0,0.04,0.34,80.0,82.0,6157.0,7.91,7.81,8.02
Company of Heroes: Opposing Fronts,2007.0,0.01,0.03,0.0,0.01,0.04,87.0,36.0,235.0,8.28,8.5,8.06
Company of Heroes: Tales of Valor,2009.0,0.0,0.03,0.0,0.01,0.04,70.0,42.0,204.0,7.92,8.9,6.94
Conception II: Children of the Seven Stars,2013.0,0.09,0.0,0.03,0.01,0.12,62.0,11.0,44.0,7.47,8.56,6.39
Condemned 2: Bloodshot,2008.0,0.17,0.16,0.0,0.06,0.39,82.0,37.0,89.0,7.83,7.62,8.03
Conflict: Denied Ops,2008.0,0.05,0.1,0.0,0.03,0.19,51.0,28.0,25.0,6.12,6.3,5.94
Contrast,2013.0,0.0,0.01,0.0,0.0,0.01,62.0,24.0,169.0,7.89,8.92,6.85
Cross Edge,2008.0,0.14,0.02,0.05,0.02,0.23,52.0,32.0,82.0,6.45,7.22,5.67
Crysis,2007.0,0.0,0.69,0.0,0.02,0.71,91.0,56.0,1970.0,8.34,8.18,8.51
Crysis 2,2011.0,0.31,0.505,0.03,0.16999999999999998,1.0150000000000001,85.5,48.0,1000.0,8.28,8.375,8.185
Crysis 3,2013.0,0.21500000000000002,0.405,0.015,0.115,0.75,76.5,35.0,755.5,8.165,8.715,7.615
DC Universe Online,2011.0,0.16,0.06,0.0,0.02,0.23,72.0,27.0,243.0,7.51,7.87,7.16
DJ Hero,2009.0,0.42,0.34,0.0,0.14,0.9,86.0,53.0,49.0,8.05,7.76,8.34
DJ Hero 2,2010.0,0.47,0.19,0.0,0.1,0.75,86.0,46.0,22.0,8.12,8.0,8.25
Dante's Inferno,2010.0,0.64,0.28,0.04,0.13,1.08,75.0,69.0,265.0,8.03,8.63,7.42
Dark Sector,2008.0,0.23,0.16,0.01,0.07,0.47,72.0,47.0,70.0,7.26,7.4,7.12
Dark Souls,2011.0,0.75,0.51,0.54,0.22,2.02,89.0,54.0,1397.0,8.74,8.96,8.52
Dark Souls II,2014.0,0.24000000000000002,0.20500000000000002,0.2,0.08,0.72,91.0,52.5,1712.5,8.855,8.985,8.725
Dark Souls III,2016.0,0.325,0.26,0.17,0.11,0.86,89.0,62.5,1894.0,9.055,9.36,8.75
Dark Void,2010.0,0.18,0.12,0.0,0.05,0.35,59.0,50.0,36.0,6.33,6.59,6.08
Darksiders,2010.0,0.04,0.03,0.0,0.01,0.08499999999999999,82.5,45.5,461.0,8.475000000000001,8.785,8.16
Darksiders II,2012.0,0.19,0.22499999999999998,0.005,0.08,0.495,82.5,31.0,537.5,8.440000000000001,8.68,8.2
Darksiders: Warmastered Edition,2016.0,0.02,0.0,0.0,0.0,0.02,79.0,9.0,15.0,8.47,9.23,7.7
Darkspore,2011.0,0.07,0.03,0.0,0.01,0.12,65.0,52.0,133.0,6.98,7.2,6.77
Dead Island,2011.0,0.6000000000000001,0.4,0.075,0.16999999999999998,1.245,75.5,32.5,916.5,7.955,8.415,7.495
Dead Island: Riptide,2013.0,0.26,0.19,0.07,0.09,0.6,62.0,25.0,140.0,7.47,8.57,6.37
Dead Rising,2016.0,0.02,0.0,0.01,0.01,0.04,78.0,6.0,30.0,8.01,8.63,7.39
Dead Rising 2,2010.0,0.265,0.29000000000000004,0.075,0.11,0.75,79.0,35.5,194.5,7.53,7.585,7.484999999999999
Dead Rising 2: Off the Record,2011.0,0.075,0.05,0.05,0.02,0.19,69.0,20.5,44.5,7.664999999999999,8.440000000000001,6.890000000000001
Dead Space,2008.0,0.525,0.595,0.0,0.175,1.295,87.0,47.5,819.0,8.655000000000001,8.965,8.34
Dead Space 2,2011.0,0.43,0.315,0.0,0.125,0.87,88.0,53.0,754.5,8.875,9.205,8.54
Dead Space 3,2013.0,0.44,0.36,0.0,0.16,0.96,76.0,37.0,522.0,8.47,9.14,7.8
Dead or Alive 5,2012.0,0.23,0.14,0.2,0.07,0.64,74.0,34.0,109.0,7.92,8.45,7.39
Dead to Rights: Retribution,2010.0,0.1,0.12,0.02,0.05,0.28,60.0,44.0,27.0,7.12,7.69,6.55
Deadpool,2014.0,0.185,0.125,0.0,0.065,0.37,60.5,19.0,144.5,7.615,8.86,6.359999999999999
Deception IV: Blood Ties,2014.0,0.03,0.02,0.06,0.01,0.11,70.0,19.0,27.0,7.53,8.37,6.69
Defiance,2013.0,0.165,0.07,0.0,0.04,0.27999999999999997,61.5,30.5,403.0,7.27,8.11,6.43
Demigod,2009.0,0.0,0.02,0.0,0.0,0.02,76.0,50.0,183.0,7.37,7.26,7.47
Demon's Souls,2009.0,0.97,0.33,0.35,0.17,1.82,89.0,81.0,1441.0,8.83,9.11,8.56
Destiny,2014.0,2.49,2.07,0.16,0.92,5.64,76.0,95.0,5380.0,7.44,7.35,7.53
Deus Ex: Human Revolution,2011.0,0.25,0.25,0.0,0.08,0.58,90.0,52.0,3069.0,8.44,8.36,8.51
Deus Ex: Mankind Divided,2016.0,0.055,0.12,0.0,0.03,0.20500000000000002,83.5,57.0,597.5,8.015,7.8149999999999995,8.215
Devil May Cry 4,2008.0,0.295,0.23500000000000001,0.17,0.10500000000000001,0.805,81.0,42.0,332.0,8.21,8.48,7.945
DiRT 3,2011.0,0.135,0.35,0.005,0.115,0.605,86.5,37.5,277.5,8.365,8.35,8.385
DiRT Rally,2016.0,0.02,0.15000000000000002,0.0,0.025,0.2,85.5,39.5,242.0,8.555,8.58,8.535
Diablo II,2000.0,0.01,0.1,0.0,0.02,0.13,88.0,34.0,1056.0,8.3,8.52,8.08
Diablo III,2012.5,1.58,1.455,0.075,0.41500000000000004,3.525,87.0,64.5,5093.0,8.515,8.425,8.605
Digimon All-Star Rumble,2014.0,0.06,0.02,0.0,0.02,0.09,49.0,12.0,32.0,6.67,7.63,5.7
Digimon Story: Cyber Sleuth,2016.0,0.0,0.1,0.0,0.02,0.11,75.0,45.0,289.0,8.3,9.15,7.45
Disciples III: Renaissance,2010.0,0.0,0.01,0.0,0.0,0.02,56.0,36.0,105.0,6.32,6.37,6.26
Disgaea 3: Absence of Justice,2008.0,0.33,0.03,0.11,0.04,0.52,78.0,51.0,150.0,7.91,8.41,7.41
Disgaea 4: A Promise Unforgotten,2011.0,0.27,0.11,0.14,0.05,0.57,80.0,39.0,126.0,8.3,8.75,7.85
