Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Play Score,Game Score,Critic Score
Just Cause 3,2015.0,0.25,0.5700000000000001,0.035,0.14500000000000002,1.0,73.5,46.0,466.0,7.970000000000001,8.325,7.625
Just Dance 2014,2013.0,0.18,0.15000000000000002,0.0,0.065,0.395,76.0,5.0,38.0,8.100000000000001,8.71,7.49
Just Dance 2015,2014.0,0.19,0.13,0.0,0.07,0.39,72.0,8.0,32.0,8.04,8.8,7.28
Just Dance 2016,2015.0,0.17,0.13,0.0,0.06,0.36,73.0,10.0,20.0,8.04,8.89,7.2
Just Dance 3,2011.0,0.33,0.2,0.0,0.09,0.62,75.0,5.0,7.0,7.99,8.65,7.33
Just Dance 4,2012.0,0.26,0.11,0.0,0.06,0.43,77.0,5.0,29.0,8.01,8.66,7.35
Katamari Forever,2009.0,0.26,0.04,0.06,0.04,0.4,74.0,51.0,50.0,8.01,8.61,7.42
Kid Icarus: Uprising,2012.0,0.48,0.35,0.36,0.07,1.27,83.0,75.0,487.0,8.98,9.72,8.24
Killer is Dead,2013.0,0.12,0.03,0.05,0.03,0.23,64.0,39.0,215.0,7.38,8.09,6.66
Killzone 2,2009.0,1.4,1.06,0.08,0.47,3.01,91.0,94.0,1505.0,8.71,8.46,8.96
Killzone 3,2011.0,1.45,0.86,0.09,0.38,2.77,84.0,85.0,942.0,8.42,8.45,8.4
Killzone: Shadow Fall,2013.0,0.89,1.33,0.08,0.39,2.69,73.0,88.0,2102.0,7.81,8.21,7.42
Kingdom Hearts 3D: Dream Drop Distance,2012.0,0.88,0.26,0.34,0.1,1.58,75.0,54.0,267.0,8.69,9.66,7.71
Kingdoms of Amalur: Reckoning,2012.0,0.255,0.21,0.045,0.07,0.575,81.0,29.5,736.5,8.385,8.895,7.87
Kirby: Planet Robobot,2016.0,0.28,0.14,0.47,0.04,0.93,81.0,71.0,87.0,8.86,9.64,8.09
Kirby: Triple Deluxe,2014.0,0.61,0.34,0.79,0.09,1.83,80.0,68.0,206.0,8.84,9.68,8.0
Knack,2013.0,0.43,0.68,0.42,0.2,1.73,54.0,83.0,1074.0,6.91,8.35,5.48
Knights Contract,2011.0,0.04,0.03,0.0,0.01,0.08,51.0,37.0,8.0,6.23,7.08,5.39
L.A. Noire,2011.0,1.27,1.29,0.12,0.49,3.17,89.0,78.0,1010.0,8.41,8.25,8.57
L.A. Noire: The Complete Edition,2011.0,0.08,0.13,0.0,0.03,0.25,83.0,28.0,903.0,8.07,7.83,8.31
LEGO Batman 2: DC Super Heroes,2012.0,0.41,0.28,0.0,0.06,0.75,72.0,6.0,25.0,7.96,8.78,7.13
LEGO Batman: The Videogame,2008.0,0.37,0.21000000000000002,0.0,0.1,0.675,77.5,19.5,47.0,7.87,8.27,7.475
LEGO Jurassic World,2015.0,0.16,0.22999999999999998,0.01,0.07,0.47000000000000003,71.0,27.0,55.5,8.07,8.754999999999999,7.39
LEGO Marvel Super Heroes,2013.0,0.4666666666666666,0.5466666666666667,0.006666666666666667,0.18666666666666668,1.21,81.0,17.0,154.0,8.43,9.04,7.816666666666666
LEGO Pirates of the Caribbean: The Video Game,2011.0,0.29,0.27,0.0,0.06,0.62,71.0,16.0,20.0,7.75,8.78,6.72
LEGO Star Wars II: The Original Trilogy,2006.0,0.0,0.01,0.0,0.0,0.02,86.0,20.0,64.0,7.86,8.08,7.64
LEGO Star Wars: The Complete Saga,2007.0,1.02,0.9,0.0,0.36,2.29,80.0,18.0,87.0,8.01,8.51,7.51
LEGO The Hobbit,2014.0,0.13,0.38,0.0,0.09,0.6,72.0,47.0,88.0,7.98,8.84,7.12
LEGO The Lord of the Rings,2012.0,0.21333333333333337,0.26,0.0,0.08333333333333333,0.5533333333333333,74.33333333333333,8.666666666666666,74.0,8.113333333333333,8.796666666666667,7.43
Lara Croft and the Temple of Osiris,2014.0,0.0,0.045000000000000005,0.0,0.005,0.055,73.5,28.5,90.0,7.355,7.32,7.385
Left 4 Dead,2008.0,0.0,0.02,0.0,0.0,0.02,89.0,58.0,3717.0,8.89,9.36,8.43
Left 4 Dead 2,2009.0,0.0,0.32,0.0,0.04,0.36,89.0,55.0,2530.0,9.14,9.68,8.6
Legend of Kay Anniversary,2015.0,0.0,0.02,0.0,0.0,0.03,62.0,22.0,11.0,7.32,8.38,6.26
Legendary,2008.0,0.08,0.03,0.0,0.02,0.13,50.0,31.0,31.0,6.15,6.5,5.8
Life is Strange,2016.0,0.08,0.095,0.015,0.03,0.22,84.0,19.0,1146.0,8.235,8.785,7.69
Lightning Returns: Final Fantasy XIII,2013.0,0.31,0.2,0.45,0.11,1.07,66.0,62.0,552.0,7.4,8.19,6.6
LittleBigPlanet,2008.0,2.8,1.98,0.17,0.87,5.82,95.0,85.0,5311.0,8.95,8.95,8.95
LittleBigPlanet 2,2011.0,1.83,1.05,0.06,0.46,3.39,91.0,86.0,657.0,9.11,9.29,8.92
LittleBigPlanet 3,2014.0,0.66,0.93,0.01,0.31,1.91,79.0,78.0,506.0,8.22,8.67,7.76
LittleBigPlanet Karting,2012.0,0.42,0.3,0.01,0.15,0.87,73.0,69.0,159.0,8.08,8.91,7.26
Lollipop Chainsaw,2012.0,0.27,0.2,0.11,0.08,0.66,67.0,37.0,199.0,7.45,8.05,6.84
Lord of Magna: Maiden Heaven,2014.0,0.0,0.0,0.06,0.0,0.06,68.0,16.0,36.0,7.76,8.47,7.05
Lords of the Fallen,2014.0,0.09,0.135,0.01,0.04,0.275,70.5,40.5,504.0,6.915,6.8,7.035
Lost Dimension,2014.0,0.05,0.01,0.0,0.01,0.07,71.0,18.0,27.0,7.65,8.26,7.04
Lost Horizon,2010.0,0.0,0.1,0.0,0.02,0.11,77.0,24.0,27.0,7.82,8.48,7.16
Lost Planet 2,2010.0,0.145,0.17500000000000002,0.1,0.065,0.49,65.5,35.5,74.5,7.225,7.390000000000001,7.0600000000000005
Lost Planet 3,2013.0,0.035,0.045,0.03,0.01,0.125,61.0,23.5,156.0,6.695,7.265000000000001,6.12
Lost Planet: Extreme Condition,2008.0,0.31,0.17,0.07,0.08,0.64,67.0,34.0,36.0,7.14,7.39,6.9
Lost: Via Domus,2008.0,0.095,0.115,0.0,0.045,0.26,53.0,26.0,33.0,6.775,7.58,5.975
Luigi's Mansion: Dark Moon,2013.0,1.8,1.39,1.11,0.29,4.59,86.0,74.0,458.0,9.05,9.73,8.37
MLB 07: The Show,2007.0,0.29,0.0,0.0,0.02,0.31,77.0,30.0,17.0,7.84,7.92,7.76
MLB 08: The Show,2008.0,0.64,0.0,0.0,0.05,0.7,85.0,33.0,76.0,7.97,7.75,8.19
MLB 09: The Show,2009.0,0.66,0.0,0.0,0.06,0.72,90.0,27.0,61.0,8.34,8.24,8.45
MLB 10: The Show,2010.0,0.66,0.0,0.0,0.06,0.72,91.0,33.0,107.0,8.33,8.23,8.43
MLB 11: The Show,2011.0,0.54,0.0,0.0,0.04,0.58,90.0,30.0,87.0,8.39,8.46,8.33
MLB 12: The Show,2012.0,0.86,0.0,0.0,0.06,0.92,87.0,23.0,75.0,8.53,8.68,8.39
MLB 13: The Show,2013.0,0.67,0.0,0.0,0.07,0.74,87.0,36.0,114.0,8.79,9.17,8.41
MLB 14: The Show,2014.0,0.46499999999999997,0.0,0.0,0.11000000000000001,0.575,82.0,21.5,142.0,8.415,8.73,8.100000000000001
MLB 15: The Show,2015.0,0.68,0.08,0.0,0.17,0.92,80.0,44.0,190.0,8.43,8.97,7.9
Madden NFL 07,2006.0,0.47,0.0,0.01,0.04,0.52,76.0,25.0,22.0,7.31,6.95,7.66
Madden NFL 08,2007.0,0.89,0.0,0.0,0.08,0.97,81.0,31.0,33.0,7.76,7.46,8.07
Madden NFL 09,2008.0,1.56,0.14,0.0,0.18,1.88,85.0,38.0,132.0,7.93,7.88,7.99
Madden NFL 10,2009.0,2.03,0.13,0.0,0.21,2.37,85.0,41.0,58.0,8.14,8.1,8.18
Madden NFL 11,2010.0,2.04,0.15,0.0,0.2,2.38,83.0,36.0,68.0,7.97,7.92,8.01
Madden NFL 12,2011.0,1.93,0.15,0.0,0.17,2.25,79.0,31.0,56.0,7.97,8.5,7.45
Madden NFL 13,2012.0,1.055,0.115,0.0,0.115,1.285,83.0,22.0,101.0,8.15,8.33,7.96
Madden NFL 15,2014.0,1.54,0.25,0.0,0.4,2.19,81.0,37.0,208.0,8.44,8.83,8.05
Madden NFL 16,2015.0,2.34,0.3,0.0,0.6,3.24,83.0,37.0,180.0,8.41,8.66,8.17
Madden NFL 17,2016.0,1.25,0.17,0.0,0.32,1.75,82.0,35.0,83.0,8.34,8.47,8.22
Madden NFL 25,2013.0,1.115,0.08,0.0,0.195,1.385,75.0,16.0,104.5,8.075,8.67,7.48
Madden NFL Football,2011.0,0.36,0.01,0.0,0.03,0.39,49.0,18.0,16.0,6.99,8.78,5.2
Mafia II,2010.0,0.335,0.43,0.02,0.155,0.9450000000000001,76.0,53.5,767.5,8.205,8.934999999999999,7.475
Mafia III,2016.0,0.42,1.08,0.03,0.28,1.81,68.0,66.0,1147.0,7.62,8.44,6.81
Magicka,2011.0,0.0,0.02,0.0,0.01,0.03,74.0,44.0,602.0,8.1,8.84,7.36
Majesty 2: The Fantasy Kingdom Sim,2009.0,0.01,0.0,0.0,0.0,0.02,72.0,31.0,129.0,7.26,7.08,7.45
Majin and the Forsaken Kingdom,2010.0,0.09,0.13,0.01,0.05,0.29,72.0,49.0,35.0,7.55,7.78,7.32
Major League Baseball 2K10,2010.0,0.17,0.0,0.0,0.01,0.19,74.0,19.0,4.0,7.79,8.24,7.34
Major League Baseball 2K11,2011.0,0.105,0.02,0.0,0.015,0.14,73.0,9.0,12.5,7.34,7.455,7.235
Major League Baseball 2K12,2012.0,0.18,0.0,0.0,0.02,0.19,68.0,8.0,5.0,7.23,7.83,6.63
Major League Baseball 2K8,2008.0,0.28,0.0,0.0,0.03,0.31,67.0,23.0,8.0,7.1,7.42,6.79
Major League Baseball 2K9,2009.0,0.16,0.0,0.0,0.01,0.17,61.0,19.0,6.0,7.0,7.5,6.5
Mario Kart 7,2011.0,5.03,4.02,2.69,0.91,12.66,85.0,73.0,632.0,9.09,9.77,8.41
Mario Party: Island Tour,2013.0,0.62,0.64,0.55,0.11,1.92,57.0,47.0,117.0,7.4,8.74,6.06
Mario Party: Star Rush,2016.0,0.08,0.13,0.08,0.02,0.3,68.0,37.0,16.0,7.76,8.76,6.77
Mario Tennis Open,2012.0,0.26,0.29,0.34,0.05,0.95,69.0,58.0,110.0,7.85,8.75,6.95
Mario vs. Donkey Kong: Tipping Stars,2015.0,0.0,0.0,0.06,0.0,0.06,70.0,15.0,48.0,7.96,8.75,7.17
Marvel vs. Capcom 3: Fate of Two Worlds,2011.0,0.81,0.28,0.11,0.14,1.34,84.0,56.0,147.0,8.05,7.86,8.25
Marvel: Ultimate Alliance,2006.0,0.17,0.01,0.0,0.015,0.195,80.0,28.5,50.5,7.56,7.675,7.455
Marvel: Ultimate Alliance 2,2009.0,0.49,0.15,0.0,0.09,0.73,74.0,48.0,51.0,7.69,7.84,7.54
Mass Effect,2008.0,0.0,0.59,0.0,0.08,0.67,89.0,45.0,2386.0,8.89,9.12,8.66
Mass Effect 2,2010.5,0.395,0.385,0.015,0.125,0.9199999999999999,94.0,58.5,2320.0,9.23,9.25,9.215
Mass Effect 3,2012.0,0.515,0.5,0.015,0.16,1.1949999999999998,91.0,26.5,3887.5,8.655000000000001,8.555,8.76
Max Payne,2001.0,0.0,0.02,0.0,0.0,0.02,89.0,32.0,1016.0,8.47,8.72,8.21
Max Payne 2: The Fall of Max Payne,2003.0,0.0,0.02,0.0,0.0,0.03,86.0,46.0,802.0,8.61,9.03,8.19
Max Payne 3,2012.0,0.375,0.555,0.03,0.175,1.1400000000000001,87.0,30.5,1496.0,8.48,8.545,8.415
Medal of Honor,2010.0,0.74,0.635,0.035,0.24,1.65,73.5,41.0,401.0,7.425,7.7,7.15
Medal of Honor: Airborne,2007.0,0.125,0.365,0.015,0.13,0.63,76.5,27.0,121.5,7.675,7.685,7.665
Medal of Honor: Warfighter,2012.0,0.31,0.385,0.03,0.15,0.87,55.0,26.0,424.5,6.83,7.775,5.885
Medieval II: Total War,2006.0,0.0,0.08,0.0,0.02,0.1,88.0,39.0,648.0,8.82,9.4,8.23
Medieval Moves: Deadmund's Quest,2011.0,0.13,0.11,0.0,0.04,0.28,61.0,41.0,17.0,6.96,7.78,6.14
Men of War,2009.0,0.01,0.02,0.0,0.0,0.03,80.0,22.0,136.0,8.06,8.59,7.54
Men of War: Assault Squad,2011.0,0.01,0.03,0.0,0.01,0.05,77.0,21.0,93.0,8.17,8.67,7.68
Mercenaries 2: World in Flames,2008.0,0.29,0.39,0.02,0.16,0.87,72.0,43.0,73.0,7.19,7.55,6.83
Metal Gear Rising: Revengeance,2013.0,0.45,0.37,0.44,0.16,1.42,80.0,61.0,746.0,8.02,8.57,7.48
Metal Gear Solid 4: Guns of the Patriots,2008.0,2.63,1.71,0.83,0.82,5.99,94.0,82.0,3558.0,9.12,9.17,9.06
Metal Gear Solid V: Ground Zeroes,2014.0,0.19666666666666668,0.19999999999999998,0.1466666666666667,0.07666666666666666,0.6233333333333333,73.66666666666667,31.666666666666668,655.0,8.096666666666666,8.610000000000001,7.586666666666666
Metal Gear Solid V: The Phantom Pain,2015.0,0.545,0.7150000000000001,0.245,0.24,1.745,92.0,49.5,2953.0,9.115,9.11,9.120000000000001
Metal Gear Solid: Snake Eater 3D,2012.0,0.15,0.11,0.1,0.02,0.38,78.0,46.0,167.0,8.7,9.69,7.71
Metro 2033,2010.0,0.0,0.19,0.0,0.05,0.24,81.0,40.0,1472.0,8.07,8.42,7.71
Metro: Last Light,2013.0,0.06,0.11,0.0,0.02,0.19,82.0,71.0,2654.0,8.12,8.24,8.0
Metroid Prime: Federation Force,2016.0,0.02,0.01,0.01,0.0,0.05,64.0,56.0,219.0,7.75,8.97,6.52
Michael Jackson: The Experience,2011.0,0.25,0.19,0.0,0.08,0.52,66.0,11.0,16.0,7.83,8.76,6.91
Midnight Club: Los Angeles,2008.0,1.56,0.53,0.05,0.31,2.45,82.0,50.0,100.0,8.11,8.27,7.96
Mighty No. 9,2016.0,0.04,0.0,0.0,0.01,0.05,52.0,64.0,282.0,6.38,7.09,5.67
Mini Ninjas,2009.0,0.07,0.08499999999999999,0.0,0.03,0.18000000000000002,73.5,25.5,70.0,7.9399999999999995,8.6,7.29
Mirror's Edge,2008.5,0.155,0.315,0.01,0.115,0.595,80.0,55.0,694.0,8.315,8.72,7.915
Mirror's Edge Catalyst,2016.0,0.06,0.10500000000000001,0.01,0.025,0.205,71.5,37.0,592.0,7.765000000000001,8.265,7.265000000000001
ModNation Racers,2010.0,0.5,0.4,0.06,0.16,1.12,82.0,85.0,201.0,8.31,8.79,7.83
Monster Hunter 4 Ultimate,2014.0,0.68,0.48,2.62,0.11,3.89,86.0,80.0,348.0,9.07,9.59,8.56
Mortal Kombat,2011.0,1.98,0.53,0.0,0.34,2.84,84.0,60.0,494.0,8.79,9.11,8.47
Mortal Kombat X,2015.0,0.755,0.42000000000000004,0.0,0.24,1.4149999999999998,79.5,45.5,655.5,8.47,8.725,8.21
Mortal Kombat vs. DC Universe,2008.0,1.48,0.28,0.0,0.23,2.0,76.0,44.0,107.0,8.0,8.45,7.56
MotorStorm,2006.0,1.53,1.6,0.06,0.67,3.87,84.0,9.0,220.0,7.6,7.6,7.61
MotorStorm: Apocalypse,2011.0,0.21,0.19,0.0,0.08,0.48,77.0,74.0,155.0,8.13,8.56,7.7
MotorStorm: Pacific Rift,2008.0,0.43,0.65,0.02,0.25,1.35,82.0,63.0,318.0,8.06,8.12,8.0
Mugen Souls Z,2013.0,0.02,0.01,0.04,0.01,0.07,57.0,26.0,56.0,7.39,8.75,6.03
Murdered: Soul Suspect,2014.0,0.045,0.10500000000000001,0.01,0.025,0.185,59.0,41.0,344.5,7.195,8.295,6.105
NASCAR '14,2014.0,0.09,0.0,0.0,0.02,0.11,67.0,7.0,20.0,7.18,7.55,6.81
NASCAR 09,2008.0,0.22,0.01,0.0,0.02,0.25,65.0,22.0,10.0,7.23,7.39,7.06
NASCAR Heat Evolution,2016.0,0.04,0.0,0.0,0.01,0.05,66.0,8.0,18.0,6.73,7.51,5.95
NBA 2K10,2009.0,0.75,0.01,0.01,0.07,0.84,83.0,30.0,39.0,8.04,8.2,7.89
NBA 2K11,2010.0,0.7949999999999999,0.1,0.015,0.085,0.995,85.5,26.0,71.0,8.415,8.434999999999999,8.395
NBA 2K12,2011.0,0.8550000000000001,0.155,0.025,0.09999999999999999,1.135,88.0,21.5,96.5,8.285,8.175,8.385
NBA 2K13,2012.0,0.865,0.225,0.025,0.135,1.25,90.0,15.5,114.5,8.385,8.435,8.335
NBA 2K14,2013.0,1.165,0.31,0.025,0.275,1.7799999999999998,84.5,23.0,255.0,8.575,9.02,8.125
NBA 2K15,2014.0,1.47,0.54,0.01,0.43,2.45,83.0,50.0,291.0,8.5,8.73,8.26
NBA 2K16,2015.0,2.49,0.66,0.03,0.69,3.88,87.0,51.0,364.0,8.59,8.67,8.5
NBA 2K17,2016.0,0.625,0.14,0.01,0.17,0.945,89.0,26.5,107.0,7.7250000000000005,6.795,8.65
NBA 2K7,2006.0,0.3,0.04,0.0,0.03,0.37,80.0,20.0,8.0,7.89,7.94,7.85
NBA 2K8,2007.0,0.5,0.01,0.0,0.05,0.55,81.0,18.0,19.0,7.95,8.19,7.71
NBA 2K9,2008.0,0.56,0.0,0.0,0.05,0.61,82.0,30.0,37.0,8.28,8.42,8.14
NBA Live 09,2008.0,0.46,0.0,0.02,0.04,0.52,75.0,32.0,15.0,7.91,8.28,7.53
NBA Live 10,2009.0,0.46,0.02,0.01,0.05,0.54,81.0,32.0,25.0,7.84,8.12,7.55
NBA Live 15,2014.0,0.16,0.04,0.0,0.04,0.23,59.0,24.0,86.0,7.07,7.84,6.29
NBA Live 16,2015.0,0.1,0.04,0.0,0.03,0.18,59.0,27.0,70.0,7.19,8.23,6.15
NCAA Basketball 10,2009.0,0.31,0.0,0.0,0.03,0.33,75.0,17.0,6.0,7.54,7.74,7.33
NCAA Football 08,2007.0,0.35,0.0,0.0,0.03,0.38,77.0,13.0,28.0,7.64,7.69,7.6
NCAA Football 09,2008.0,0.54,0.0,0.0,0.04,0.58,81.0,20.0,25.0,7.8,8.28,7.31
NCAA Football 10,2009.0,0.75,0.0,0.0,0.06,0.81,80.0,20.0,14.0,8.13,8.2,8.07
NCAA Football 11,2010.0,0.79,0.0,0.0,0.06,0.85,85.0,22.0,25.0,8.25,8.31,8.19
NCAA Football 12,2011.0,0.78,0.0,0.0,0.05,0.83,82.0,17.0,41.0,8.16,8.41,7.92
NCAA Football 13,2012.0,0.82,0.0,0.0,0.07,0.89,79.0,9.0,34.0,8.1,8.69,7.5
NCAA Football 14,2013.0,0.75,0.0,0.0,0.09,0.84,77.0,9.0,40.0,8.2,8.98,7.43
NHL 08,2007.0,0.16,0.06,0.0,0.03,0.25,86.0,23.0,23.0,7.87,7.77,7.97
NHL 09,2008.0,0.29,0.02,0.0,0.03,0.33,88.0,25.0,41.0,8.37,8.39,8.35
NHL 10,2009.0,0.38,0.12,0.0,0.07,0.57,88.0,35.0,40.0,8.17,7.94,8.41
NHL 11,2010.0,0.4,0.12,0.0,0.07,0.59,88.0,38.0,54.0,8.19,8.01,8.36
NHL 12,2011.0,0.36,0.15,0.0,0.07,0.58,86.0,33.0,52.0,8.22,8.14,8.29
NHL 13,2012.0,0.33,0.21,0.0,0.09,0.64,84.0,22.0,60.0,7.75,7.32,8.18
NHL 14,2013.0,0.28,0.17,0.0,0.09,0.54,80.0,22.0,79.0,8.23,8.9,7.57
NHL 15,2014.0,0.31,0.19,0.0,0.1,0.6,60.0,28.0,306.0,6.82,7.51,6.12
NHL 16,2015.0,0.36,0.16,0.0,0.11,0.63,78.0,28.0,157.0,8.16,8.39,7.92
NHL 17,2016.0,0.19,0.08,0.0,0.06,0.33,78.0,26.0,67.0,7.98,8.16,7.8
NHL 2K10,2009.0,0.13,0.01,0.0,0.01,0.15,66.0,23.0,8.0,7.13,7.45,6.81
Napoleon: Total War,2010.0,0.02,0.53,0.0,0.12,0.66,81.0,56.0,515.0,8.62,8.94,8.31
Naruto Shippuden: Ultimate Ninja Storm 2,2010.0,0.42,0.46,0.15,0.18,1.21,76.0,34.0,130.0,8.12,8.6,7.63
Naruto Shippuden: Ultimate Ninja Storm 3,2013.0,0.32,0.32,0.15,0.15,0.93,77.0,32.0,187.0,8.46,9.28,7.65
Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,0.41,0.45,0.11,0.17,1.14,79.0,60.0,201.0,8.62,9.41,7.82
Naruto Shippuden: Ultimate Ninja Storm Generations,2012.0,0.27,0.24,0.14,0.08,0.73,74.0,23.0,83.0,7.8,7.99,7.61
Naruto Shippuden: Ultimate Ninja Storm Revolution,2014.0,0.15,0.14,0.09,0.06,0.43,73.0,26.0,100.0,8.19,8.97,7.41
Naruto: Powerful Shippuden,2012.0,0.08,0.02,0.04,0.01,0.15,71.0,13.0,19.0,7.55,7.92,7.17
Naruto: Ultimate Ninja Storm,2008.0,0.49,0.34,0.09,0.15,1.07,75.0,32.0,95.0,7.89,8.11,7.67
Need for Speed: Hot Pursuit,2010.0,0.585,0.715,0.015,0.26,1.575,87.5,36.5,428.5,8.385,8.42,8.344999999999999
Need for Speed: ProStreet,2007.0,0.365,0.47500000000000003,0.02,0.185,1.04,71.5,22.0,103.0,7.27,7.18,7.37
Need for Speed: Shift,2009.0,0.345,0.725,0.02,0.265,1.355,83.5,38.5,250.0,7.8100000000000005,7.625,7.984999999999999
Need for Speed: The Run,2011.0,0.2533333333333333,0.4466666666666667,0.01,0.15,0.8533333333333332,66.0,25.0,182.0,7.183333333333334,7.933333333333334,6.436666666666667
NeverDead,2012.0,0.06,0.04,0.01,0.02,0.12,50.0,32.0,47.0,6.04,6.78,5.31
Neverwinter Nights,2002.0,0.0,0.03,0.0,0.0,0.03,91.0,34.0,490.0,7.88,8.04,7.71
Neverwinter Nights 2,2006.0,0.0,0.02,0.0,0.0,0.02,82.0,46.0,565.0,7.77,7.73,7.82
New Super Mario Bros. 2,2012.0,3.66,3.14,2.47,0.63,9.9,78.0,70.0,424.0,8.62,9.74,7.51
Ni no Kuni: Wrath of the White Witch,2011.0,0.6,0.47,0.21,0.23,1.51,85.0,89.0,984.0,8.8,9.17,8.43
Nights of Azure,2015.0,0.03,0.02,0.0,0.01,0.06,67.0,40.0,71.0,7.75,8.55,6.95
Ninja Gaiden 3,2012.0,0.19,0.09,0.11,0.05,0.43,58.0,43.0,152.0,6.28,6.84,5.71
Ninja Gaiden Sigma,2007.0,0.57,0.32,0.09,0.16,1.14,88.0,46.0,155.0,8.27,8.26,8.28
Ninja Gaiden Sigma 2,2009.0,0.52,0.16,0.08,0.1,0.85,83.0,52.0,115.0,8.41,8.58,8.24
Nitroplus Blasterz: Heroines Infinite Duel,2015.0,0.01,0.0,0.02,0.0,0.04,70.0,33.0,28.0,7.93,8.87,6.99
No Man's Sky,2016.0,0.63,0.76,0.03,0.27,1.7,71.0,94.0,5096.0,7.18,7.1,7.26
No More Heroes: Heroes' Paradise,2010.0,0.1,0.04,0.04,0.02,0.19,72.0,38.0,38.0,7.46,7.69,7.22
Nobunaga's Ambition: Sphere of Influence,2014.0,0.03,0.0,0.0,0.01,0.04,80.0,20.0,46.0,8.07,8.69,7.45
Odin Sphere: Leifthrasir,2016.0,0.07,0.04,0.07,0.02,0.2,87.0,49.0,178.0,9.01,9.3,8.73
Omega Quintet,2014.0,0.0,0.0,0.02,0.0,0.02,58.0,22.0,81.0,7.53,8.86,6.2
One Piece: Pirate Warriors,2012.0,0.01,0.23,0.86,0.08,1.18,64.0,33.0,55.0,8.14,9.34,6.93
One Piece: Pirate Warriors 2,2013.0,0.0,0.19,0.42,0.05,0.66,71.0,35.0,61.0,8.41,9.51,7.31
