Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Play Score,GameScore,CriticScore
Sly Cooper: Thieves in Time,2013,0.35,0.12,0,0.08,0.54,75,69,343,8.26,9.16,7.36
Sniper Elite,2005,0,0.01,0,0,0.02,76,13,142,7.41,7.59,7.23
Sniper Elite V2,2012,0.38,0.38,0.06,0.14,0.96,70,21,92,7.6,8.28,6.93
Sniper: Ghost Warrior,2011,0.27,0.34,0.04,0.13,0.79,53,17,34,6.85,7.73,5.97
Sniper: Ghost Warrior 2,2013,0.035,0.115,0.015,0.04,0.205,52,19.5,201,6.55,7.67,5.425
Soldier of Fortune: Payback,2007,0.12,0.02,0,0.01,0.15,50,14,13,6.57,7.13,6.01
Song of the Deep,2016,0.045,0,0,0.005,0.055,71,26.5,22.5,7.855,8.39,7.325
Sonic Boom: Shattered Crystal,2014,0.17,0.09,0,0.03,0.29,47,21,160,7.04,8.69,5.39
Sonic Generations,2011,0.353333333,0.41,0.01,0.123333333,0.903333333,73,26,232.6666667,8.23,8.923333333,7.536666667
Sonic Lost World,2013,0.24,0.14,0.07,0.03,0.49,59,34,144,7.6,8.72,6.47
Sonic Unleashed,2008,0.56,0.32,0.01,0.14,1.02,54,24,130,7.33,8.47,6.2
Sorcery,2012,0.14,0.11,0,0.05,0.29,70,52,57,7.36,8.04,6.68
SoulCalibur IV,2008,0.72,0.4,0.14,0.2,1.46,85,65,129,7.89,7.94,7.83
SoulCalibur V,2012,0.35,0.23,0.07,0.09,0.75,81,53,150,7.88,7.84,7.91
South Park: The Stick of Truth,2014,0.25,0.22,0,0.085,0.555,85,39.5,1157,8.895,9.405,8.395
Spec Ops: The Line,2012,0.15,0.16,0.02,0.05,0.385,76.5,21.5,793.5,8.395,9.055,7.73
Spider-Man: Edge of Time,2011,0.105,0.05,0,0.02,0.17,54,25,20.5,7.195,8.245,6.145
Spider-Man: Shattered Dimensions,2010,0.26,0.12,0,0.05,0.44,74,57,96,7.63,7.95,7.31
Spider-Man: Web of Shadows,2008,0.1,0.03,0,0.01,0.14,59.5,27.5,45.5,7.245,7.78,6.72
Spirit Camera: The Cursed Memoir,2012,0.13,0.02,0.06,0.01,0.22,54,35,28,6.58,7.69,5.47
Spore,2008,0.03,1.06,0,0.08,1.17,84,75,1711,8.41,8.78,8.04
Star Fox 64 3D,2011,0.48,0.27,0.13,0.06,0.94,81,65,231,8.32,8.77,7.86
Star Ocean: The Last Hope International,2010,0.28,0.15,0.22,0.07,0.72,74,45,155,8.17,8.68,7.66
Star Trek Online,2010,0,0.02,0,0,0.02,66,34,694,7.28,7.66,6.9
Star Trek: Legacy,2006,0,0.01,0,0,0.02,56,25,35,7.36,8.22,6.49
Star Wars: Battlefront,2004,0.07,0.13,0,0.02,0.21,72,19,1509,6.76,6.44,7.09
Star Wars: Battlefront II,2005,0.02,0.13,0,0.02,0.17,78,23,431,7.63,8.49,6.77
Star Wars: Empire at War,2006,0.01,0.06,0,0.01,0.08,79,45,240,8.66,9.52,7.81
Star Wars: Knights of the Old Republic,2003,0.01,0.1,0,0.02,0.14,93,33,1497,8.55,8.88,8.23
Star Wars: Republic Commando,2005,0,0.04,0,0.01,0.05,78,34,279,8.48,9.26,7.71
Star Wars: The Force Unleashed,2008,1.01,0.85,0,0.35,2.21,71,47,233,7.73,8.05,7.41
Star Wars: The Force Unleashed II,2010,0.415,0.245,0,0.105,0.765,61,27.5,141.5,6.75,7.105,6.395
Star Wars: The Old Republic,2011,1.58,1.01,0,0.38,2.96,85,73,2748,8.18,7.96,8.4
StarCraft II: Legacy of the Void,2015,0.19,0.29,0,0.04,0.53,88,62,833,8.54,8.41,8.67
StarCraft II: Wings of Liberty,2010,2.57,1.68,0,0.58,4.84,93,82,3052,8.88,8.58,9.19
Starhawk,2012,0.18,0.05,0.03,0.03,0.29,77,71,188,7.94,8.16,7.72
Steel Diver,2011,0.31,0.09,0.05,0.03,0.49,58,55,29,6.77,7.77,5.77
Steins;Gate,2012,0.01,0.02,0.02,0.01,0.06,83,8,51,8.57,9.11,8.03
Steins;Gate 0,2015,0,0,0.05,0,0.05,81,17,29,8.62,9.29,7.95
Stella Glow,2015,0.16,0.01,0.05,0.02,0.24,79,32,82,8.51,9.43,7.58
Story of Seasons,2014,0,0.14,0.27,0.01,0.42,76,39,54,8.11,8.75,7.48
Stranglehold,2007,0.24,0.02,0,0.03,0.3,77,22,48,7.43,7.31,7.55
Street Fighter IV,2009,2.03,1.04,0.58,0.52,4.16,94,61,330,8.47,8.14,8.8
Street Fighter V,2016,0.2,0.165,0.04,0.07,0.48,75.5,56.5,826,7.475,7.185,7.765
Street Fighter X Tekken,2012,0.21,0.115,0.05,0.045,0.425,81.5,29.5,162.5,7.4,6.905,7.895
Super Dungeon Bros,2016,0.01,0,0,0,0.01,42,9,7,6.12,7.03,5.21
Super Mario 3D Land,2011,4.89,3,2.14,0.78,10.81,90,82,921,9.22,9.76,8.67
Super Monkey Ball 3D,2011,0.26,0.15,0.05,0.04,0.49,55,57,31,6.81,7.77,5.85
Super Stardust Ultra VR,2016,0,0.01,0,0,0.01,66,13,13,7.72,8.55,6.88
Supreme Commander,2007,0,0.04,0,0.01,0.05,86,44,263,8.49,8.71,8.27
Supreme Commander 2,2010,0,0.15,0,0.04,0.19,77,54,803,7.89,8.43,7.36
Supreme Commander: Forged Alliance,2007,0.01,0.02,0,0,0.04,81,35,219,8.72,9.48,7.96
Sword Art Online: Hollow Realization,2016,0.06,0.02,0.1,0.02,0.19,69,32,52,8,9.07,6.93
Sword Art Online: Lost Song,2015,0.1,0.11,0,0.04,0.25,63,32,60,7.77,9.13,6.41
Syndicate,2012,0.07,0.06,0,0.02,0.14,75,29,106,7.37,7.33,7.4
Sbastien Loeb Rally Evo,2016,0,0.04,0,0.01,0.04,71,28,73,7.2,7.43,6.97
Tales of Graces f,2010,0.28,0.18,0.45,0.07,0.98,77,55,336,8.31,8.8,7.82
Tales of Xillia,2011,0.29,0.18,0.67,0.09,1.22,78,65,468,8.49,8.95,8.03
Tales of Zestiria,2015,0.17,0.15,0.02,0.06,0.4,72,59,315,8.06,8.7,7.41
Tales of the Abyss,2011,0.43,0.19,0.14,0.06,0.83,75,33,197,8.01,8.76,7.26
Tearaway Unfolded,2015,0.09,0.13,0,0.04,0.26,81,70,188,8.43,8.62,8.24
Tears to Tiara II: Heir of the Overlord,2013,0.07,0.01,0.06,0.02,0.15,65,18,41,7.95,8.7,7.21
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,0.05,0.02,0,0.02,0.09,44,49,163,6.56,8.3,4.83
Tekken 3D: Prime Edition,2012,0.06,0.07,0.05,0.01,0.2,64,42,39,7.66,8.7,6.62
Tekken 6,2009,1.2,0.97,0.17,0.42,2.75,79,63,211,8.07,8.23,7.92
Tekken Tag Tournament 2,2012,0.28,0.31,0.13,0.13,0.85,82,50,193,8.47,8.7,8.25
Tenkai Knights: Brave Battle,2014,0.01,0.01,0,0,0.02,26,10,22,6.27,7.74,4.81
Terraria,2013.5,0.0175,0.105,0.0375,0.0175,0.1775,79.5,12.75,437.75,8.6125,9.45,7.77
Test Drive Unlimited,2007,0,0.02,0,0,0.02,79,18,124,7.86,8.19,7.54
The Adventures of Tintin: The Game,2011,0.055,0.12,0,0.035,0.205,57.5,17.5,12.5,7.28,8.025,6.535
The Awakened Fate Ultimatum,2014,0,0,0.02,0,0.02,65,20,23,7.31,7.83,6.78
The Beatles: Rock Band,2009,0.67,0.29,0,0.15,1.12,88,60,59,8.49,8.31,8.68
The Bureau: XCOM Declassified,2013,0.04,0.09,0,0.02,0.15,67.5,33.5,350,6.96,7.26,6.66
The Chronicles of Narnia: Prince Caspian,2008,0.14,0.01,0,0.02,0.17,56,16,8,6.98,7.3,6.65
The Chronicles of Riddick: Assault on Dark Athena,2009,0.06,0.05,0,0.02,0.13,80,35.5,88,7.75,8.015,7.485
The Club,2008,0.14,0.07,0,0.03,0.23,72,42,15,7.13,6.93,7.33
The Crew,2014,0.175,0.615,0.015,0.135,0.94,66,36,519,7.165,7.565,6.765
The Cursed Crusade,2011,0.07,0.06,0.01,0.03,0.17,45,17,26,6.45,7.77,5.14
The Darkness,2007,0.2,0.33,0,0.13,0.66,80,35,107,7.85,7.83,7.88
The Darkness II,2012,0.12,0.08,0,0.03,0.23,78,24,287.5,8.17,8.505,7.84
The Elder Scrolls IV: Oblivion,2006.5,0.85,0.525,0.07,0.235,1.675,93.5,49.5,1529,8.72,8.905,8.53
The Elder Scrolls Online,2014,0.32,0.51,0,0.07,0.9,71,64,2421,7.5,8.07,6.92
The Elder Scrolls V: Skyrim,2011,1.855,2.36,0.125,0.8,5.145,93,24,5800,9.015,9.12,8.915
The Evil Within,2014,0.325,0.51,0.055,0.145,1.03,71.5,41.5,972,7.9,8.49,7.315
The First Templar,2011,0.06,0.01,0,0.01,0.08,57,19,60,6.81,7.29,6.32
The Godfather II,2009,0.41,0.21,0.01,0.1,0.74,67,53,50,7.34,7.68,7
The Golf Club,2014,0.05,0.02,0,0.01,0.08,66,11,67,7.4,8.04,6.77
The Guided Fate Paradox,2013,0,0,0.06,0,0.07,74,27,66,7.91,8.36,7.45
The Incredible Hulk,2008,0.22,0.02,0,0.02,0.26,55,26,20,6.8,7.5,6.09
The King of Fighters XII,2009,0.11,0.01,0.03,0.01,0.16,57,48,46,6.31,6.47,6.16
The King of Fighters XIII,2011,0.17,0.06,0.04,0.03,0.3,77,26,76,8.16,8.31,8.02
The King of Fighters XIV,2016,0.07,0.02,0.04,0.02,0.15,79,54,208,8.56,9.22,7.91
The LEGO Movie Videogame,2014,0.196666667,0.26,0.01,0.086666667,0.553333333,73,14.33333333,47.66666667,7.86,8.533333333,7.19
The Last Remnant,2009,0,0.01,0,0,0.01,66,23,240,7.54,8.02,7.07
The Last of Us,2013,2.41,2.18,0.28,0.99,5.87,95,98,8003,9.45,9.49,9.42
The Legend of Heroes: Trails of Cold Steel,2013,0.05,0.02,0.12,0.01,0.2,86,12,128,8.3,8.96,7.65
The Legend of Heroes: Trails of Cold Steel II,2014,0.02,0.02,0.11,0.01,0.15,90,4,71,8.39,8.92,7.85
The Legend of Legacy,2015,0.12,0.01,0.1,0.02,0.25,67,31,54,7.23,7.83,6.64
The Legend of Spyro: Dawn of the Dragon,2008,0.19,0.18,0,0.07,0.44,59,22,36,7,7.29,6.71
The Legend of Zelda: A Link Between Worlds,2013,1.4,1.01,0.46,0.23,3.1,91,81,1057,9.3,9.7,8.9
The Legend of Zelda: Majora's Mask 3D,2015,1.15,0.55,0.47,0.17,2.34,89,82,478,9.38,9.7,9.05
The Legend of Zelda: Tri Force Heroes,2015,0.53,0.33,0.17,0.08,1.12,73,73,179,8.08,8.71,7.45
The Lord of the Rings: Conquest,2009,0.19,0.135,0,0.055,0.38,55.5,34.5,49.5,6.83,7.075,6.58
The Lord of the Rings: War in the North,2011,0.05,0.11,0,0.03,0.19,66,21,289,7.35,7.72,6.98
The Order: 1886,2015,0.61,0.78,0.06,0.27,1.74,63,94,3172,7.4,8.23,6.57
The Saboteur,2009,0.1,0.13,0,0.04,0.27,74,37,177,7.455,7.86,7.045
The Settlers 7: Paths to a Kingdom,2010,0,0.27,0,0.05,0.31,79,33,213,6.96,6.43,7.48
The Settlers: Rise of an Empire,2007,0.01,0.01,0,0,0.02,66,19,44,7.02,7.27,6.77
The Simpsons Game,2007,0.38,0.36,0,0.15,0.88,71,30,49,7.52,7.83,7.2
The Sims,2000,0.01,0.03,0,0.01,0.05,92,38,451,8.05,7.88,8.23
The Sims 2,2004,0.02,0.24,0,0.04,0.29,90,61,676,8.24,8.32,8.15
The Sims 3,2010,0.673333333,2.56,0.016666667,0.323333333,3.57,72,47.66666667,324,7.55,8.056666667,7.043333333
The Sims 4,2014,1,1.82,0,0.23,3.05,70,74,2057,7.14,7.33,6.95
The Technomancer,2016,0.01,0.025,0,0.005,0.035,58,36,132.5,6.775,7.19,6.36
The Testament of Sherlock Holmes,2012,0.025,0.1,0,0.025,0.155,69,17,81,7.62,8.035,7.205
The Tomb Raider Trilogy,2011,0.27,0.46,0,0.15,0.88,78,37,60,8.2,8.84,7.56
The Walking Dead: Survival Instinct,2013,0.28,0.15,0,0.08,0.51,34,14,196,6.07,7.97,4.17
The Witch and the Hundred Knight,2013,0.07,0.02,0.1,0.02,0.2,53,44,80,7.09,8.09,6.09
The Witcher,2007,0,0.05,0,0.01,0.06,81,50,1116,8.05,8.28,7.82
The Witcher 2: Assassins of Kings,2011,0.25,0.56,0,0.14,0.96,88,76,4378,8.68,8.86,8.5
The Witcher 3: Wild Hunt,2015,0.615,1.295,0.115,0.32,2.345,92.5,55.5,10422,9.345,9.71,8.98
The Witcher: Enhanced Edition,2008,0.32,0.01,0,0,0.32,86,30,1660,8.47,8.78,8.17
The Wolf Among Us,2014,0.1,0.07,0,0.04,0.21,83,6,259,8.57,9.53,7.61
Theatrhythm Final Fantasy: Curtain Call,2014,0.13,0.08,0.15,0.02,0.37,83,52,66,8.55,8.8,8.31
Thor: God of Thunder,2011,0.06,0.03,0,0.01,0.1,55,10,5,7.36,8.65,6.07
Tiger Woods PGA Tour 10,2009,0.42,0.25,0,0.11,0.78,81,38,9,7.99,8.14,7.84
Tiger Woods PGA Tour 12: The Masters,2011,0.52,0.25,0,0.11,0.89,80,41,17,7.96,8.05,7.87
Tiger Woods PGA Tour 13,2012,0.24,0.21,0,0.08,0.54,75,14,9,7.86,8.38,7.34
Tiger Woods PGA Tour 14,2013,0.16,0.14,0,0.07,0.37,74,28,26,7.99,8.38,7.6
Time Crisis 4,2007,0.32,0.32,0.05,0.14,0.83,60,52,21,6.82,7.32,6.32
Time and Eternity,2012,0.06,0.03,0.06,0.02,0.17,42,40,78,6.36,7.83,4.9
TimeShift,2007,0.075,0,0,0.005,0.085,70.5,23,75.5,7.14,7.395,6.88
Titan Quest,2006,0.01,0.04,0,0.01,0.06,77,51,387,7.91,8.02,7.8
Titanfall,2014,0.22,0.3,0,0.04,0.56,86,29,1727,7.92,7.38,8.46
Titanfall 2,2016,0.185,0.145,0.025,0.065,0.415,87,41.5,596,8.92,9.295,8.55
Tokyo Jungle,2012,0,0,0.26,0,0.26,74,60,89,8.32,9.23,7.4
Tokyo Twilight Ghost Hunters,2014,0.03,0,0.02,0.01,0.06,64,11,17,7.06,7.34,6.78
Tom Clancy's EndWar,2008.5,0.165,0.12,0.005,0.05,0.34,72,28.5,42,7.635,7.93,7.34
Tom Clancy's Ghost Recon: Future Soldier,2012,0.23,0.21,0.045,0.07,0.56,75,15.5,262,7.685,7.81,7.56
Tom Clancy's Ghost Recon: Shadow Wars,2011,0.22,0.09,0,0.03,0.34,77,49,78,7.73,7.81,7.65
Tom Clancy's Rainbow Six: Vegas,2007,0.47,0.53,0.03,0.22,1.25,86,32,81,8.13,7.97,8.29
Tom Clancy's Rainbow Six: Vegas 2,2008,0.33,0.23,0.02,0.105,0.68,79.5,26,139,8.14,8.565,7.71
Tom Clancy's Splinter Cell Classic Trilogy HD,2011,0.02,0,0,0,0.02,67,21,29,7.92,8.79,7.05
Tom Clancy's Splinter Cell: Conviction,2010,0,0.08,0,0.02,0.11,83,20,672,7.55,7.21,7.9
Tom Clancy's Splinter Cell: Double Agent,2007,0.2,0.03,0,0.03,0.26,78,17,41,7.97,8.22,7.71
Tom Clancy's The Division,2016,0.785,0.925,0.075,0.32,2.105,79.5,48.5,1703.5,7.845,7.7,7.985
Tomb Raider,1996,0.96,0.07,0,0,1.03,86,18,3552,8.83,9.45,8.2
Tomb Raider: Anniversary,2007,0,0.03,0,0.01,0.03,83,26,242,8.08,8.24,7.91
Tomb Raider: Underworld,2008,0.225,0.305,0.025,0.115,0.67,77.5,31,219,7.745,7.97,7.53
Tony Hawk's Proving Ground,2007,0.36,0.04,0,0.04,0.44,73,36,17,7.46,7.44,7.49
Top Spin 3,2008,0.08,0.36,0,0.12,0.57,75,36,20,7.79,7.85,7.74
Top Spin 4,2011,0.17,0.39,0,0.13,0.69,82,37,55,8.39,8.5,8.28
Torchlight,2009,0,0.06,0,0.01,0.07,83,57,794,8.28,8.71,7.85
Total War: Attila,2015,0.09,0.13,0,0.02,0.24,80,66,520,7.82,7.8,7.83
Total War: Rome II,2013,0.12,0.53,0,0.07,0.72,76,71,3742,8,8.15,7.85
Total War: Shogun 2,2011,0.19,0.31,0,0.09,0.6,90,62,1180,8.89,8.95,8.83
Total War: WARHAMMER,2016,0,0.12,0,0.01,0.13,86,77,556,8.09,7.7,8.47
Touhou Genso Rondo: Bullet Ballet,2016,0.02,0,0,0,0.02,55,19,34,7.23,8.5,5.96
Tour de France 2014,2014,0,0.03,0,0,0.03,53,9,22,7.16,8.08,6.23
Transformers: Devastation,2015,0.05,0.06,0,0.02,0.13,75.5,29.5,108,8.23,8.86,7.605
Transformers: Fall of Cybertron,2012,0.1,0.07,0,0.03,0.2,77.5,22.5,104,8.315,8.93,7.7
Trials Fusion,2014,0.065,0.125,0.005,0.035,0.225,79.5,31.5,170.5,7.705,7.565,7.85
Trine,2009,0,0.01,0,0,0.01,80,50,488,8.61,9.34,7.87
Trine 2,2011,0,0.03,0,0.01,0.04,84,55,667,8.79,9.43,8.15
Trinity Universe,2009,0.07,0.05,0.03,0.02,0.18,62,25,28,6.98,7.48,6.48
Tropico 3,2009,0,0.04,0,0.01,0.04,79,48,184,8.23,8.51,7.96
Tropico 4,2011,0.1,0.13,0,0.04,0.27,78,46,359,8.4,8.99,7.81
Tropico 5,2014.5,0.04,0.125,0.03,0.025,0.215,75.5,34,230.5,7.705,8,7.41
Turok,2008,0.35,0.21,0.01,0.1,0.67,67,38,39,6.85,6.99,6.72
Two Worlds II,2011,0.175,0.095,0.03,0.035,0.33,73,29.5,190,6.855,6.395,7.31
UFC 2009 Undisputed,2009,1.07,0.44,0.01,0.24,1.76,84,58,47,7.98,7.91,8.05
UFC Undisputed 2010,2010,0.8,0.4,0.02,0.18,1.41,85,54,48,8.06,8.15,7.97
UFC Undisputed 3,2012,0.55,0.32,0.03,0.13,1.03,86,30,92,8.48,8.68,8.28
Ultimate Marvel vs. Capcom 3,2011,0,0.04,0.04,0.01,0.09,80,36,114,8.07,8.19,7.95
Ultra Street Fighter IV,2015,0,0.08,0,0.01,0.1,71,28,94,8.16,9.18,7.14
Uncharted 2: Among Thieves,2009,3.27,2.2,0.21,0.98,6.66,96,105,5187,9.27,9.2,9.33
Uncharted 3: Drake's Deception,2011,2.77,2.75,0.19,1.03,6.74,92,97,3712,9.02,8.87,9.18
Uncharted 4: A Thief's End,2016,1.85,2.5,0.19,0.85,5.38,93,113,7064,9.43,9.58,9.28
Uncharted: Drake's Fortune,2007,2.31,1.72,0.12,0.77,4.92,88,66,2306,8.25,8.34,8.17
Unreal Tournament 2004,2004,0,0.01,0,0,0.02,93,48,537,8.83,9.39,8.26
Unreal Tournament III,2007,0.165,0.14,0,0.055,0.365,84.5,41.5,325,8.17,8.27,8.07
Until Dawn,2015,0.45,0.9,0.05,0.26,1.66,79,103,2161,8.6,9.22,7.98
Until Dawn: Rush of Blood,2016,0.18,0.15,0,0.07,0.39,72,49,68,7.91,8.75,7.07
Valentino Rossi: The Game,2016,0.005,0.03,0,0.005,0.045,73.5,11.5,32,7.54,7.985,7.1
Valkyria Chronicles,2008,0.71,0.19,0.24,0.13,1.27,86,60,433,8.55,8.71,8.39
Vanquish,2010,0.21,0.21,0.11,0.08,0.61,84,61,304,8.48,8.8,8.16
Venetica,2009.5,0.035,0.035,0,0.01,0.085,54,15.5,28.5,6.78,7.365,6.19
Viking: Battle for Asgard,2008,0.14,0.17,0,0.07,0.38,65,38,32,6.96,7.24,6.68
Virtua Fighter 5,2007,0.29,0.51,0.08,0.2,1.08,85,47,67,7.87,7.51,8.24
Virtua Tennis 2009,2009,0.09,0.22,0,0.06,0.38,70,34,21,6.97,6.96,6.98
Virtua Tennis 4,2011,0.09,0.24,0.03,0.08,0.44,69,49,28,6.97,7.24,6.69
WWE '12,2011,0.53,0.45,0.02,0.17,1.17,72,28,80,7.73,8.16,7.29
WWE '13,2012,0.51,0.6,0,0.25,1.35,76,24,99,8.04,8.3,7.79
WWE 2K14,2013,0.49,0.46,0,0.19,1.14,74,22,121,8.27,9,7.53
WWE 2K15,2014,0.375,0.43,0,0.16,0.965,58.5,24.5,110.5,7.265,8.28,6.25
WWE 2K16,2015,0.41,0.6,0,0.2,1.21,73,47,237,7.84,8.34,7.33
WWE 2K17,2016,0.17,0.34,0,0.09,0.6,69,50,88,7.67,8.48,6.86
WWE All Stars,2011,0.155,0.12,0,0.045,0.32,73,31.5,21.5,7.45,7.86,7.04
Wanted: Weapons of Fate,2009,0.14,0.1,0.01,0.04,0.29,61,56,25,6.95,7.18,6.71
Warcraft III: Reign of Chaos,2002,0.03,0.09,0,0.02,0.13,92,40,1023,8.61,8.56,8.67
"Warhammer 40,000: Dawn of War",2004,0.01,0.03,0,0.01,0.05,86,51,295,8.59,9.29,7.89
"Warhammer 40,000: Dawn of War II",2009,0,0.45,0,0.02,0.47,85,67,1502,8.46,8.5,8.42
"Warhammer 40,000: Space Marine",2011,0.11,0.16,0,0.055,0.32,72,40,379,7.805,8.58,7.02
Warhammer: Mark of Chaos,2006,0,0.02,0,0,0.03,73,32,57,7.2,7.16,7.25
Warhawk,2007,0.49,0.39,0,0.17,1.06,84,50,183,8.26,8.46,8.07
Warriors Orochi 3,2011,0,0.04,0.57,0.01,0.62,70,17,35,8.44,9.47,7.42
Warriors: Legends of Troy,2011,0.06,0.04,0.07,0.02,0.19,44,22,24,6.78,8.11,5.44
Wasteland 2,2015,0.03,0.06,0,0.01,0.1,81,65,1170,8.07,8.17,7.98
Watch Dogs,2014,0.775,1.08,0.055,0.335,2.25,78.5,49,3142,7.92,7.84,8.005
Watch Dogs 2,2016,0.37,0.58,0,0.18,1.13,83,88,621,8.53,8.82,8.23
Wet,2009,0.22,0.27,0.01,0.11,0.61,70,61,55,6.86,6.93,6.79
White Knight Chronicles: International Edition,2008,0.33,0.16,0.36,0.08,0.93,64,77,213,7.11,7.49,6.72
Wolfenstein,2009,0.13,0.15,0,0.06,0.34,72.5,49.5,169,7.395,7.75,7.045
Wolfenstein: The New Order,2014,0.3,0.545,0.015,0.135,1,80,48,1381.5,8.38,8.905,7.855
Wolfenstein: The Old Blood,2015,0,0.08,0,0,0.09,76,30,338,8.2,8.75,7.64
World of Final Fantasy,2016,0.08,0.14,0.08,0.04,0.33,77,74,222,8.28,8.76,7.79
World of Goo,2008,0,0.03,0,0.01,0.04,90,26,607,8.74,9.1,8.38
World of Tanks,2011,0,0.23,0,0.05,0.29,80,38,1466,7.7,7.58,7.82
World of Warcraft,2004,0.08,6.21,0,0,6.29,93,57,2182,8.22,8.04,8.4
Worms Reloaded,2010,0,0.04,0,0.01,0.05,79,28,185,8.13,8.31,7.94
Worms: Ultimate Mayhem,2011,0,0.03,0,0,0.04,66,4,48,7.68,8.73,6.63
X-Blades,2009,0.07,0.03,0.02,0.01,0.13,50,31,15,6.45,6.73,6.17
X-Men: Destiny,2011,0.14,0.07,0,0.03,0.24,50,33,37,6.4,7.06,5.74
X3: Terran Conflict,2008,0,0.02,0,0,0.03,73,16,222,7.9,8.45,7.34
XCOM 2,2016,0.065,0.1,0,0.02,0.185,88,66,668.5,8.415,8.265,8.57
XCOM: Enemy Unknown,2012,0.255,0.295,0,0.09,0.64,89,38.5,1265.5,8.76,8.815,8.71
Yakuza 3,2009,0.21,0.2,0.62,0.08,1.12,79,77,165,8.1,8.27,7.93
Yakuza 5,2012,0,0,0.59,0,0.59,83,34,180,8.79,9.32,8.25
Yakuza: Dead Souls,2011,0.09,0.06,0.42,0.03,0.6,64,55,69,7.38,8.16,6.59
Yoshi's New Island,2014,0.48,0.53,0.28,0.09,1.38,64,71,155,7.69,8.73,6.66
You Don't Know Jack,2011,0.16,0,0,0.01,0.18,82,11,18,8.1,8.32,7.88
Yumi's Odd Odyssey,2013,0,0,0.03,0,0.03,74,13,23,8.05,8.65,7.44
Zero Escape: Virtue's Last Reward,2012,0.03,0,0,0,0.03,88,15,188,8.97,9.5,8.43
Zero Escape: Zero Time Dilemma,2016,0.05,0,0.02,0.01,0.08,81,18,72,8.25,8.62,7.88
de Blob 2,2011,0.11,0.07,0,0.03,0.21,74,50,34,7.89,8.37,7.42
inFAMOUS 2,2011,1.05,0.47,0.08,0.22,1.82,83,90,932,8.79,9.3,8.29